ID;Alias;Apellidos;Nombre;Dirección;Población;Teléfono;Móvil;Email;Observaciones;Sexo;Fecha Nacimiento;Estado Civil;Hijos;Desempleado;Profesión;Nivel académico;Peso Kg;Altura;Cabello;Ojos;Fumador;Salud
1;Africa;AROCAS PASADAS;ESTEFANIA;PADRÓ , 109;Zaragoza;938205580;546212121;africa@altecom.es;;Mujer;20/03/64;Otros;1;FALSO;Administrativo/a;Bachillerato;73;1,62;Castaño;Marrones;VERDADERO;Buena
2;Agata;VISO GILABERT;QUERALT;CASA CORDELLAS , ;Barcelona;936545115;625215452;agata@hotmail.com;;Mujer;13/12/65;Otros;0;VERDADERO;Delineante;EGB;98;1,55;Negro;Marrones;FALSO;Regular
3;Aguador;AYALA FERRERAS;JOAN;DOCTOR FLEMING , 11;Zaragoza;938202768;649212123;;;Hombre;20/07/69;Otros;0;FALSO;;Diplomado/a;61;1,6;Negro;Otro;VERDADERO;Buena
4;Albatros;BAEZ TEJADO;JOAN;BERTRAND I SERRA , 11, 3R.;Zaragoza;938727844;;albatros@wandoo.es;;Hombre;23/07/65;Separado/a;1;FALSO;Contable;Bachillerato;70;1,8;Otros;Marrones;FALSO;Buena
5;Albert;BASTARDES SOTO;MARC;CARRIÓ , 12, 5È A;Tarragona;938350521;;albert@intercom.es;;Hombre;16/10/64;Soltero/a;3;FALSO;Dependiente/a;Elementales;91;1,81;Negro;Azules;FALSO;Regular
6;Alien;ANGUERA VILAFRANCA;JOSEP;PIRINEUS , 10;Valencia;938755645;;alien@intercom.es;;Hombre;16/11/58;Casado/a;1;FALSO;Estudiante;FP;53;1,57;Negro;Verdes;FALSO;Regular
7;amores;PASCUAL ALOY;ESTHER;JACINT VERDAGUER , 43;Girona;936520547;;amores@hotmail.com;;Mujer;20/03/67;Divorciado/a;0;FALSO;;Diplomado/a;60;1,57;Calvo;Otro;FALSO;Buena
8;Anabel;VALLÉS GIRVENT;LAURA;NOU , 9, 2N.;Tarragona;936565656;645121212;anabel@altecom.es;;Mujer;17/09/66;Casado/a;1;VERDADERO;Conductor/a;EGB;70;1,72;Pelirrojo;Verdes;VERDADERO;Regular
9;Antiga;RAYA GARCIA;RAQUEL;JACINT VERDAGUER , 52, 3R, 1A.;Barcelona;936752156;;antiga@minorisa.es;;Mujer;10/10/67;Casado/a;1;FALSO;Oficial;FP;65;1,81;Rubio;Azules;FALSO;Regular
10;ballador;ANDREU CRUZ;JOAN;JOAN MIRÓ , 10;Tarragona;938300025;648221111;ballador@hotmail.com;;Hombre;29/05/60;Otros;1;VERDADERO;Recepcionista;EGB;99;1,62;Castaño;Otro;VERDADERO;Buena
11;balladora;BARALDÉS COMAS;MARIA ISABEL;JAUME GALOBART , 12;Lleida;938385567;658444412;balladora@altecom.es;;Mujer;11/03/68;Divorciado/a;0;VERDADERO;Diseñador/a;Elementales;87;1,56;Otros;Otro;FALSO;Buena
12;Barbilla;BERENGUERAS CULLERÉS;ADRIÀ;PINTOR SERT , 12, 1R., 1A.;Valencia;937809812;654899994;barbilla@hotmail.com;;Hombre;23/09/64;Soltero/a;0;VERDADERO;Comercial;Elementales;92;1,6;Calvo;Marrones;VERDADERO;Regular
13;Besugo;LÓPEZ DE PABLO GARCIA UCEDA;GERARD;BELLAVISTA , 30;Zaragoza;936520741;;besugo@minorisa.es;;Hombre;13/01/66;Divorciado/a;0;FALSO;Comercial;EGB;66;1,87;Negro;Otro;FALSO;Buena
14;Bogart;ARNAU MORENO;ELIOT;MONTURIOL , 10, 1R.;Girona;938202456;;bogart@terra.es;;Hombre;02/09/57;Soltero/a;2;FALSO;Asesor/a fiscal;Elementales;53;1,82;Negro;Negros;FALSO;Buena
15;Bond;RAYA GAVILAN;JORDI;JACINT VERDAGUER , 52, 2N., 4A.;Lleida;938754554;;bond@terra.es;;Hombre;18/07/69;Casado/a;1;FALSO;Arquitecto/a;Licenciado/a;101;1,6;Castaño;Otro;FALSO;Regular
16;Borreguero;ZAMBUDIO FIGULS;LLUÍS;CASA NOVA , ;Lleida;936875544;625411320;;;Hombre;30/01/69;Soltero/a;1;VERDADERO;;EGB;104;1,67;Rubio;Verdes;FALSO;Regular
17;Cabeza larga;BIDAULT CULLERÉS;LAURA;DE LA CAÇA , 12, 1R., C;Valencia;935880712;690522200;cabeza larga@cataloniamail.com;;Mujer;02/04/67;Casado/a;;VERDADERO;Contable;Licenciado/a;74;1,87;Pelirrojo;Negros;VERDADERO;Buena
18;Caga-novias;BIOSCA FONTANET;JORDI;PINTOR SERT , 12, 2N., 1A.;Zaragoza;936875255;647821111;;;Hombre;03/09/58;Otros;3;FALSO;Camarero/a;EGB;107;1,75;Calvo;Azules;FALSO;Buena
19;Calandria;ZAFRA FIGULS;DOUNYA;CASA SARA , ;Tarragona;936542775;;;;Mujer;31/05/66;Separado/a;1;VERDADERO;;EGB;107;1,73;Otros;Marrones;VERDADERO;Regular
20;Cangur;ALEU ICART;JULIO;ARTÈS , 1, 1R, 1A.;Barcelona;938773545;;cangur@intercom.es;;Hombre;21/09/67;Otros;0;VERDADERO;Recepcionista;Elementales;79;1,86;Castaño;Azules;FALSO;Excelente
21;Cantinflas;BADIA TORNÉ;ANDREU;GENERAL PRIM , 11, 2N.;Valencia;938200022;;;;Hombre;23/02/63;Separado/a;1;FALSO;Recepcionista;Diplomado/a;106;1,79;Rubio;Verdes;FALSO;Regular
22;Canto;MORALES GESE;RAMON;CAU DE LA GUINEU , 4;Tarragona;936512545;;;;Hombre;26/01/58;Casado/a;;FALSO;Abogado/a;EGB;70;1,81;Calvo;Verdes;FALSO;Buena
23;Caparranas;BLANCO FONTANET;DAVID-JESE;JOAN SANMARTÍ , 12, 2N., 2A.;Lleida;937785655;632548744;caparranas@altecom.es;;Hombre;23/09/60;Otros;1;FALSO;;Elementales;61;1,57;Negro;Azules;FALSO;Buena
24;Cara corta;ALVAREZ FERNÁNDEZ;ARAN;PROL. PADRÓ , 1, 3R. 1A.;Madrid;938300385;632986321;;;Hombre;27/09/64;Soltero/a;2;FALSO;Taxista;Elementales;85;1,64;Castaño;Marrones;VERDADERO;Buena
25;cariñosa;GARCIA ALMOGUERA;GEMMA;SALLENT , 22, 2N.;Barcelona;936520471;647111021;;;Mujer;22/03/62;Soltero/a;;FALSO;;Bachillerato;75;1,69;Pelirrojo;Azules;FALSO;Regular
26;Carretero;LIBORI FIGUERAS;IVAN;JOAN MIRÓ , 3;Girona;936012445;625481111;carretero@intercom.es;;Hombre;23/07/65;Divorciado/a;0;FALSO;;EGB;88;1,56;Otros;Otro;VERDADERO;Buena
